Uma entrada na região de 17.53 a 17.71 Fundo de Canal de Alta coincidindo com  mm200 períodos + 50% de retração de fibonacci.   O autor desse estudo não se responsabiliza direta e nem indiretamente pela  utilização de qualquer um dos exercícios ou dicas nele contidos.  Todos os estudos apresentados não representam em qualquer hipótese ofertas  de negociação de valores no mercado financeiro. Todos os textos, gráficos e  opiniões representam apenas estudos.  ;Neutro, Score:0
Bom dia a todos. Tudo em ordem por ai? Espero que sim  Hoje compartilho uma ideia gráfica para o ativo #AMBEV Segue o meu estudo ligeiramente otimista para ABEV3. Utilizei simetria de movimentos anteriores e recentes para definir área de interesse. Retrações e Projeções de Fibonacci podem ser utilizadas para formar Cluster Zones. Termo cluster significa confluências (justificativas para negociar em determinada zona de preços) Quer Aprender Mais? Acesse os Links Abaixo? ;Positivo, Score:1
Boa tarde pessoal.   Vamos para mais uma rápida do que acho provável de acontecer com a ABEV3 nos próximos dias.  Ela rompeu uma zona de resistência que estava se mantendo desde o final de 2019. As setas vermelhas mostram as 3x vezes que a resistência foi testada.  Houve um Gap de quase R$ 1,00 no preço do ativo do dia 24 para o dia 25 e eu acredito que é muito provável que o preço do ativo caia exatamente nessa zona (marcada no quadrado branco) para testar esse novo suporte antes de continuar a alta.  É uma boa oportuniade para operar, com boa relação risco retorno.  Boa sorte à todos nós.;Positivo, Score:1
" o ativo esta caindo, mais ira dar uma compra confirmada ""mesmo que for cair, ira dar um dinheirinho, pois o preço sobe um pouco"" esperamos";Positivo, Score:1
ABEV3 há tempos vinha numa congestão entre os 16,40 aos 18,50, porém, nesta última semana o papel finalmente conseguiu superar e fechar acima dos 18,50, abrindo desta forma, espaço para buscar novos patamares.  A primeira resistência que podemos esperar encontra-se na região dos 19,80.;Neutro, Score:0
Interessante é aguardar um PULLBACK  em 18,65 para entrar na retomada de alta.  Um stop seguro em 17,68.;Positivo, Score:2
"Ambev demonstrando bastante força nesse último pregão, abrindo uma boa oportunidade de lucro nos próximos dias. Alguns fatores potencializam essa interpretação: 1. O triângulo baixista foi frustrado em 19/06 e hoje sua LTB foi identificada como suporte para o repique; 2. As Bandas de Bollinger(2.0) começam a se abrir, indicando volatilidade entrando no papel; 3. As Médias Móveis(4, 8, 20, 200) começam a concordar na tendência do preço virando e cruzando para cima; 4. O RSI(14) parece preocupar, mas uma rápida pesquisa no passado do papel revela uma permissão até 75.00;  Estando correto, traço alguns alvos por Expansão de Fibonacci: 61,8% - 19,80 100,0% - 20,80 161,8% - 22,45 261,8% - 25,10 423,6% - 29,40";Negativo, Score:-2
caso rompa esse topo triplo com retração de fibo caracteriza-se uma compra, ainda mais devido à barra elefante, porém é possível precaução pois poder voltar e respeitar essa forte resistencia;Positivo, Score:1
Apenas uma ideia, qualquer comentário construtivo é bem vindo!;Positivo, Score:1
"Análise (D) Swing trade Seguindo no CANAL DE ALTA, com Estocástico sinalizando compra. Se romper a máxima anterior (18,58), papel tende a buscar uma resistência importante no 18,88. Entrada ---- 18,60 Gain -------- 18,90 Loss -------- 18,25  Em caso de queda, considerar linha de Pivot; Entrada ---- 18,25 Gain -------- 17,98 Loss -------- 18,45 ";Positivo, Score:1
Boa Tarde!!!  O estudo gráfico do Papel ABEV3 é consideravel por mim um rompimento da Zona SR em 19.00 para uma possível entrada num pullback... Vamos acompanhar os próximos movimentos do ativo...  O estudo não configura call de compra ou venda, apenas para fins educacionais.;Neutro, Score:0
Trabalhando dentro de uma consolidação, ABEV3 fez um movimento de alta a partir do dia 17 de Maio com volume descendente e padrão de correção.  Ao tocar na zona de resistência sem eficiência na movimentação, ABEV3 abre venda abaixo de R$17,50, com stop acima de R$17,80.  Alvo na faixa dos R$16,60, POC da acumulação.;Neutro, Score:0
ABEV3 Tem mais espaço para queda.  Ou a ação inicia  as sua queda a partir do (17.55) com alvo na região do (16.40).  Ou sobe até a Resistência de (18.50) para então  buscar o (16.40).;Positivo, Score:1
A AMBEV ESTA EM UMA FORMAÇAO DE TRIANGULO! PODENDO IR ATE A LINHA ASCENDENTE DA FORMAÇÃO DO TRIAGULO CASO PERDA ESSA BANDEIRA DE BAIXA!! VALE APENA OLHA OS PROXIMOS DIAS! O OBV AINDA NAO CONFIRMOU MAS VALE APENA ACOMPANHAR O OVB!!;Neutro, Score:0
ABEV3 dispara compra pelo HiloActivator, estava em excelente região de compra (conforme análise do pregão anterior em anexo). Já opera com a MME5 com viés altista, digo eu, com inclinação positiva. Tem muito espaço para corrigir pois vem de forte rali de baixa,;Positivo, Score:2
"Na ""compra parcial"" mova o ""stop de compra"" para o ""start de venda"". Após, espere pela ""compra de alvo"".";Neutro, Score:0
confirmação com rompimento da resistencia ltb, rompimento da estrutura de baixa com giro de mercado;Neutro, Score:0
