Será?;Neutro, Score:0
BRFS3 S - Abrindo Compra acima dos R$35,30 abrindo espaço para um alvo na região dos R$ 48,00;Positivo, Score:1
Após lateralizar por cerca de um ano, o papel mostrou força compradora e veio romper com volume a então resistência do retângulo, na sequencia fez um pullback para tomar fôlego e voltar a subir e romper um pivo. Nesse estudo, foi traçado o fibo após o rompimento com volume do pivo, com alvo de 100% em 39,20. Porém, na faixa de 35,20 temos uma forte resistência, onde o preço pode vir sentir e testar a cabeça do pivo rompido. Aguardemos...;Positivo, Score:2
O ativo recuoou até a retração de 61,80% de fibo (R$ 25,80) e segue indefinido. No rompimento de R$ 29,40 segue em tendencia até resistencia no topo, na faixa dos 32,00  podendo seguir até os R$ 36,00;Positivo, Score:1
Projeção alvo de fibonacci;Positivo, Score:1
Eu estava apostando que a caminhada da BRFS3 ia ser só para cima. Pelo menos a julgar pelo rompimento da linha de resistência que se mantem há pelo menos 2 anos - linha em verde.  No entanto o papel não segurou e caiu abaixo da linha.  O próximo ponto que eu acho importante prestar atenção é a região dos R$ 25 que anteriormente servia como resistência, agora deve servir como um suporte e um suporte forte.  É um ponto importante para observar para operar no curto prazo, day ou swing trade. A BRFS3 é um papel bem traiçoeiro.;Positivo, Score:2
"Tendência de queda na #BRFS3 (Brasil Foods) devido a indicação de ""VPM"" pelo indicador Trend tracker timeframe diário. 1º Alvo 27,80 (retração de 38,2% de fibo) - entrada a R$ 30,28 (perda da mínima do candle ""VPM"") e stop técnico R$ 31,90 (ajustar para a máxima do candle de amanhã , caso a operação se confirme).  Possível baixa sustentada pelo indicador Trend Tracker da Invest Solutions (investsolutions.com.br )   https://www.tradingview.com/x/ES9ZPL40/";Positivo, Score:1
BRFS3 segue em forte tendência de alta, o papel quase não corrigiu desde que voltou a subir a partir dos 20,00.  A única coisa que temos a favor da venda no momento são alguns indicadores já trabalhando na parte sobrecomprada e temos o alvo projetado atingido em 100% pela amplitude do movimento e acumulação.;Positivo, Score:1
"Na ""venda parcial"" mova o ""stop de venda"" para o ""start de compra"". Após, espere pela ""venda de alvo"".";Neutro, Score:0
venda no valor descrito no grafico;Negativo, Score:-1
Região dos 20 reais ta perdendo forca e com esse rompimento do triangulo pode ir na regiao do 17 e dependendo de como chgar no 17 começar a pensar na regiao de 11 reais;Neutro, Score:0
BRFS3 is a Brazilian company which works in the food sector.  Paper is walking sideways mailing due to uncertainty in Brazil and lack of good news to the sector.  However, based on the stocastic rsi and on bollinger band, BRFS3 is trading oversold and might recover to the average asap.  In two days, company will release the earnings and definitally will move the paper upwards since there is no room to go downwards.   Best Regards   Thiago Lobato ;Neutro, Score:0
BRFS3 após passar algumas semana acumulando entre 18,00 e 24,00, vai ganhando certa confiança para voltar a subir, já com uma mini-LTA presente e tendo testado a mm21, o papel fica livre para testar novas altas.  Olhando para possíveis alvos, só podemos pensar na região dos 35,90, antigo suporte que agora deve fazer papel de resistência.;Neutro, Score:0
